"date","level"
2014-03-10,159
2014-03-11,151
2014-03-12,149
2014-03-13,146
2014-03-14,146
2014-03-15,142
2014-03-16,139
2014-03-17,137
2014-03-18,132
2014-03-19,128
2014-03-20,130
2014-03-21,130
2014-03-22,134
2014-03-23,139
2014-03-24,148
2014-03-25,154
2014-03-26,163
2014-03-27,163
2014-03-28,161
2014-03-29,153
2014-03-30,146
2014-03-31,142
2014-04-01,135
2014-04-02,134
2014-04-03,130
2014-04-04,128
2014-04-05,127
2014-04-06,127
2014-04-07,123
2014-04-08,121
2014-04-09,121
2014-04-10,127
2014-04-11,130
2014-04-12,130
2014-04-13,125
2014-04-14,123
2014-04-15,120
2014-04-16,121
2014-04-17,118
2014-04-18,116
2014-04-19,113
2014-04-20,110
2014-04-21,113
2014-04-22,113
2014-04-23,110
2014-04-24,109
2014-04-25,107
2014-04-26,106
2014-04-27,118
2014-04-28,139
2014-04-29,158
2014-04-30,168
2014-05-01,181
2014-05-02,200
2014-05-03,203
2014-05-04,205
2014-05-05,220
2014-05-06,223
2014-05-07,209
2014-05-08,200
2014-05-09,200
2014-05-10,205
2014-05-11,200
2014-05-12,197
2014-05-13,194
2014-05-14,194
2014-05-15,198
2014-05-16,213
2014-05-17,226
2014-05-18,219
2014-05-19,202
2014-05-20,186
2014-05-21,174
2014-05-22,171
2014-05-23,171
2014-05-24,171
2014-05-25,181
2014-05-26,194
2014-05-27,211
2014-05-28,214
2014-05-29,209
2014-05-30,217
2014-05-31,213
2014-06-01,202
2014-06-02,186
2014-06-03,176
2014-06-04,168
2014-06-05,168
2014-06-06,163
2014-06-07,156
2014-06-08,149
2014-06-09,142
2014-06-10,139
2014-06-11,137
2014-06-12,141
2014-06-13,142
2014-06-14,146
2014-06-15,148
2014-06-16,151
2014-06-17,148
2014-06-18,141
2014-06-19,139
2014-06-20,130
2014-06-21,121
2014-06-22,116
2014-06-23,114
2014-06-24,109
2014-06-25,106
2014-06-26,120
2014-06-27,130
2014-06-28,132
2014-06-29,137
2014-06-30,144
2014-07-01,153
2014-07-02,161
2014-07-03,163
2014-07-04,156
2014-07-05,158
2014-07-06,158
2014-07-07,161
2014-07-08,178
2014-07-09,214
2014-07-10,265
2014-07-11,294
2014-07-12,296
2014-07-13,307
2014-07-14,328
2014-07-15,339
2014-07-16,343
2014-07-17,330
2014-07-18,314
2014-07-19,294
2014-07-20,276
2014-07-21,263
2014-07-22,270
2014-07-23,315
2014-07-24,351
2014-07-25,387
2014-07-26,387
2014-07-27,352
2014-07-28,324
2014-07-29,336
2014-07-30,390
2014-07-31,398
2014-08-01,395
2014-08-02,387
2014-08-03,385
2014-08-04,380
2014-08-05,360
2014-08-06,347
2014-08-07,335
2014-08-08,328
2014-08-09,316
2014-08-10,308
2014-08-11,301
2014-08-12,289
2014-08-13,293
2014-08-14,327
2014-08-15,323
2014-08-16,311
2014-08-17,305
2014-08-18,303
2014-08-19,297
2014-08-20,279
2014-08-21,257
2014-08-22,238
2014-08-23,223
2014-08-24,209
2014-08-25,208
2014-08-26,213
2014-08-27,244
2014-08-28,269
2014-08-29,269
2014-08-30,250
2014-08-31,246
2014-09-01,272
2014-09-02,290
2014-09-03,287
2014-09-04,283
2014-09-05,262
2014-09-06,249
2014-09-07,237
2014-09-08,226
2014-09-09,217
2014-09-10,208
2014-09-11,200
2014-09-12,200
2014-09-13,211
2014-09-14,234
2014-09-15,229
2014-09-16,209
2014-09-17,192
2014-09-18,182
2014-09-19,171
2014-09-20,169
2014-09-21,178
2014-09-22,186
2014-09-23,217
2014-09-24,235
2014-09-25,222
2014-09-26,198
2014-09-27,187
2014-09-28,184
2014-09-29,171
2014-09-30,164
2014-10-01,159
2014-10-02,154
2014-10-03,151
2014-10-04,144
2014-10-05,135
2014-10-06,132
2014-10-07,130
2014-10-08,137
2014-10-09,139
2014-10-10,151
2014-10-11,149
2014-10-12,154
2014-10-13,153
2014-10-14,149
2014-10-15,142
2014-10-16,146
2014-10-17,158
2014-10-18,194
2014-10-19,214
2014-10-20,200
2014-10-21,176
2014-10-22,169
2014-10-23,194
2014-10-24,228
2014-10-25,243
2014-10-26,231
2014-10-27,208
2014-10-28,194
2014-10-29,187
2014-10-30,182
2014-10-31,176
2014-11-01,173
2014-11-02,171
2014-11-03,163
2014-11-04,163
2014-11-05,169
2014-11-06,168
2014-11-07,195
2014-11-08,225
2014-11-09,219
2014-11-10,197
2014-11-11,187
2014-11-12,178
2014-11-13,174
2014-11-14,174
2014-11-15,190
2014-11-16,208
2014-11-17,240
2014-11-18,285
2014-11-19,300
2014-11-20,309
2014-11-21,298
2014-11-22,276
2014-11-23,253
2014-11-24,234
2014-11-25,214
2014-11-26,203
2014-11-27,198
2014-11-28,192
2014-11-29,182
2014-11-30,178
2014-12-01,169
2014-12-02,164
2014-12-03,159
2014-12-04,161
2014-12-05,154
2014-12-06,154
2014-12-07,151
2014-12-08,148
2014-12-09,141
2014-12-10,135
2014-12-11,137
2014-12-12,146
2014-12-13,154
2014-12-14,169
2014-12-15,179
2014-12-16,174
2014-12-17,173
2014-12-18,173
2014-12-19,181
2014-12-20,219
2014-12-21,260
2014-12-22,270
2014-12-23,259
2014-12-24,235
2014-12-25,214
2014-12-26,200
2014-12-27,192
2014-12-28,186
2014-12-29,186
2014-12-30,186
2014-12-31,178
2015-01-01,173
2015-01-02,171
2015-01-03,184
2015-01-04,223
2015-01-05,339
2015-01-06,413
2015-01-07,398
2015-01-08,340
2015-01-09,315
2015-01-10,330
2015-01-11,369
2015-01-12,406
2015-01-13,419
2015-01-14,401
2015-01-15,376
2015-01-16,354
2015-01-17,348
2015-01-18,355
2015-01-19,368
2015-01-20,361
2015-01-21,340
2015-01-22,319
2015-01-23,300
2015-01-24,279
2015-01-25,262
2015-01-26,249
2015-01-27,244
2015-01-28,241
2015-01-29,249
2015-01-30,265
2015-01-31,289
2015-02-01,308
2015-02-02,296
2015-02-03,275
2015-02-04,256
2015-02-05,241
2015-02-06,226
2015-02-07,217
2015-02-08,203
2015-02-09,194
2015-02-10,187
2015-02-11,182
2015-02-12,182
2015-02-13,184
2015-02-14,182
2015-02-15,178
2015-02-16,174
2015-02-17,171
2015-02-18,168
2015-02-19,164
2015-02-20,163
2015-02-21,161
2015-02-22,164
2015-02-23,168
2015-02-24,179
2015-02-25,187
2015-02-26,202
2015-02-27,208
2015-02-28,208
2015-03-01,211
2015-03-02,220
2015-03-03,241
2015-03-04,314
2015-03-05,356
2015-03-06,331
2015-03-07,301
2015-03-08,276
2015-03-09,255
2015-03-10,234
2015-03-11,223
2015-03-12,220
2015-03-13,219
2015-03-14,216
2015-03-15,211
2015-03-16,206
2015-03-17,198
2015-03-18,189
2015-03-19,182
2015-03-20,179
2015-03-21,179
2015-03-22,179
2015-03-23,174
2015-03-24,174
2015-03-25,178
2015-03-26,176
2015-03-27,173
2015-03-28,173
2015-03-29,174
2015-03-30,181
2015-03-31,202
2015-04-01,294
2015-04-02,354
2015-04-03,369
2015-04-04,381
2015-04-05,378
2015-04-06,365
2015-04-07,361
2015-04-08,343
2015-04-09,309
2015-04-10,279
2015-04-11,256
2015-04-12,243
2015-04-13,231
2015-04-14,222
2015-04-15,216
2015-04-16,211
2015-04-17,208
2015-04-18,203
2015-04-19,206
2015-04-20,226
2015-04-21,222
2015-04-22,209
2015-04-23,200
2015-04-24,192
2015-04-25,189
2015-04-26,186
2015-04-27,189
2015-04-28,194
2015-04-29,202
2015-04-30,238
2015-05-01,256
2015-05-02,243
2015-05-03,289
2015-05-04,371
2015-05-05,429
2015-05-06,455
2015-05-07,458
2015-05-08,444
2015-05-09,429
2015-05-10,412
2015-05-11,390
2015-05-12,369
2015-05-13,354
2015-05-14,340
2015-05-15,328
2015-05-16,330
2015-05-17,330
2015-05-18,338
2015-05-19,335
2015-05-20,324
2015-05-21,315
2015-05-22,305
2015-05-23,307
2015-05-24,305
2015-05-25,297
2015-05-26,282
2015-05-27,270
2015-05-28,268
2015-05-29,277
2015-05-30,268
2015-05-31,252
2015-06-01,237
2015-06-02,229
2015-06-03,219
2015-06-04,209
2015-06-05,205
2015-06-06,202
2015-06-07,200
2015-06-08,205
2015-06-09,223
2015-06-10,247
2015-06-11,243
2015-06-12,237
2015-06-13,232
2015-06-14,229
2015-06-15,225
2015-06-16,223
2015-06-17,252
2015-06-18,279
2015-06-19,275
2015-06-20,262
2015-06-21,255
2015-06-22,256
2015-06-23,265
2015-06-24,275
2015-06-25,282
2015-06-26,286
2015-06-27,276
2015-06-28,260
2015-06-29,246
2015-06-30,226
2015-07-01,214
2015-07-02,205
2015-07-03,198
2015-07-04,194
2015-07-05,184
2015-07-06,179
2015-07-07,173
2015-07-08,171
2015-07-09,174
2015-07-10,173
2015-07-11,169
2015-07-12,163
2015-07-13,154
2015-07-14,149
2015-07-15,146
2015-07-16,142
2015-07-17,139
2015-07-18,135
2015-07-19,134
2015-07-20,130
2015-07-21,128
2015-07-22,125
2015-07-23,123
2015-07-24,132
2015-07-25,134
2015-07-26,135
2015-07-27,132
2015-07-28,127
2015-07-29,121
2015-07-30,120
2015-07-31,118
2015-08-01,116
2015-08-02,116
2015-08-03,112
2015-08-04,108
2015-08-05,104
2015-08-06,103
2015-08-07,97
2015-08-08,91
2015-08-09,91
2015-08-10,87
2015-08-11,95
2015-08-12,98
2015-08-13,96
2015-08-14,90
2015-08-15,90
2015-08-16,101
2015-08-17,112
2015-08-18,113
2015-08-19,116
2015-08-20,116
2015-08-21,120
2015-08-22,127
2015-08-23,123
2015-08-24,118
2015-08-25,120
2015-08-26,121
2015-08-27,114
2015-08-28,111
2015-08-29,109
2015-08-30,103
2015-08-31,95
2015-09-01,92
2015-09-02,93
2015-09-03,94
2015-09-04,92
2015-09-05,91
2015-09-06,87
2015-09-07,86
2015-09-08,86
2015-09-09,84
2015-09-10,79
2015-09-11,72
2015-09-12,67
2015-09-13,66
2015-09-14,64
2015-09-15,69
2015-09-16,76
2015-09-17,94
2015-09-18,97
2015-09-19,94
2015-09-20,104
2015-09-21,101
2015-09-22,98
2015-09-23,105
2015-09-24,108
2015-09-25,111
2015-09-26,114
2015-09-27,114
2015-09-28,104
2015-09-29,98
2015-09-30,91
2015-10-01,88
2015-10-02,79
2015-10-03,74
2015-10-04,74
2015-10-05,79
2015-10-06,84
2015-10-07,89
2015-10-08,90
2015-10-09,99
2015-10-10,92
2015-10-11,88
2015-10-12,83
2015-10-13,79
2015-10-14,79
2015-10-15,79
2015-10-16,89
2015-10-17,93
2015-10-18,93
2015-10-19,91
2015-10-20,88
2015-10-21,89
2015-10-22,89
2015-10-23,88
2015-10-24,84
2015-10-25,79
2015-10-26,76
2015-10-27,72
2015-10-28,68
2015-10-29,69
2015-10-30,67
2015-10-31,64
2015-11-01,68
2015-11-02,67
2015-11-03,62
2015-11-04,62
2015-11-05,62
2015-11-06,59
2015-11-07,60
2015-11-08,58
2015-11-09,54
2015-11-10,54
2015-11-11,55
2015-11-12,52
2015-11-13,51
2015-11-14,49
2015-11-15,51
2015-11-16,50
2015-11-17,53
2015-11-18,52
2015-11-19,57
2015-11-20,69
2015-11-21,123
2015-11-22,176
2015-11-23,234
2015-11-24,205
2015-11-25,164
2015-11-26,144
2015-11-27,139
2015-11-28,142
2015-11-29,142
2015-11-30,141
2015-12-01,161
2015-12-02,200
2015-12-03,246
2015-12-04,243
2015-12-05,225
2015-12-06,197
2015-12-07,168
2015-12-08,149
2015-12-09,137
2015-12-10,132
2015-12-11,128
2015-12-12,130
2015-12-13,127
2015-12-14,125
2015-12-15,121
2015-12-16,116
2015-12-17,116
2015-12-18,125
2015-12-19,123
2015-12-20,118
2015-12-21,116
2015-12-22,109
2015-12-23,113
2015-12-24,111
2015-12-25,104
2015-12-26,101
2015-12-27,95
2015-12-28,90
2015-12-29,86
2015-12-30,80
2015-12-31,77
2016-01-01,75
2016-01-02,74
2016-01-03,80
2016-01-04,89
2016-01-05,108
2016-01-06,141
2016-01-07,174
2016-01-08,182
2016-01-09,186
2016-01-10,200
2016-01-11,244
2016-01-12,294
2016-01-13,347
2016-01-14,380
2016-01-15,378
2016-01-16,351
2016-01-17,315
2016-01-18,273
2016-01-19,238
2016-01-20,220
2016-01-21,206
2016-01-22,192
2016-01-23,181
2016-01-24,174
2016-01-25,171
2016-01-26,174
2016-01-27,181
2016-01-28,186
2016-01-29,190
2016-01-30,200
2016-01-31,216
2016-02-01,238
2016-02-02,328
2016-02-03,396
2016-02-04,404
2016-02-05,391
2016-02-06,385
2016-02-07,373
2016-02-08,354
2016-02-09,343
2016-02-10,390
2016-02-11,414
2016-02-12,414
2016-02-13,394
2016-02-14,378
2016-02-15,378
2016-02-16,382
2016-02-17,371
2016-02-18,344
2016-02-19,319
2016-02-20,293
2016-02-21,293
2016-02-22,320
2016-02-23,346
2016-02-24,376
2016-02-25,390
2016-02-26,385
2016-02-27,364
2016-02-28,343
2016-02-29,315
2016-03-01,289
2016-03-02,275
2016-03-03,273
2016-03-04,294
2016-03-05,322
2016-03-06,328
2016-03-07,334
2016-03-08,342
2016-03-09,328
2016-03-10,311
2016-03-11,290
2016-03-12,272
2016-03-13,256
2016-03-14,241
2016-03-15,226
2016-03-16,217
2016-03-17,209
2016-03-18,200
2016-03-19,190
2016-03-20,187
2016-03-21,181
2016-03-22,173
2016-03-23,171
2016-03-24,166
2016-03-25,163
2016-03-26,166
2016-03-27,168
2016-03-28,168
2016-03-29,169
2016-03-30,174
2016-03-31,179
2016-04-01,208
2016-04-02,231
2016-04-03,222
2016-04-04,216
2016-04-05,211
2016-04-06,220
2016-04-07,225
2016-04-08,229
2016-04-09,226
2016-04-10,219
2016-04-11,209
2016-04-12,198
2016-04-13,197
2016-04-14,206
2016-04-15,211
2016-04-16,216
2016-04-17,237
2016-04-18,296
2016-04-19,359
2016-04-20,376
2016-04-21,371
2016-04-22,350
2016-04-23,314
2016-04-24,290
2016-04-25,280
2016-04-26,296
2016-04-27,304
2016-04-28,304
2016-04-29,294
2016-04-30,283
2016-05-01,270
2016-05-02,270
2016-05-03,287
2016-05-04,303
2016-05-05,297
2016-05-06,285
2016-05-07,266
2016-05-08,249
2016-05-09,234
2016-05-10,219
2016-05-11,217
2016-05-12,213
2016-05-13,214
2016-05-14,247
2016-05-15,316
2016-05-16,374
2016-05-17,410
2016-05-18,403
2016-05-19,372
2016-05-20,347
2016-05-21,328
2016-05-22,322
2016-05-23,307
2016-05-24,293
2016-05-25,296
2016-05-26,318
2016-05-27,330
2016-05-28,327
2016-05-29,326
2016-05-30,380
2016-05-31,493
2016-06-01,477
2016-06-02,435
2016-06-03,419
2016-06-04,406
2016-06-05,408
2016-06-06,419
2016-06-07,417
2016-06-08,405
2016-06-09,405
2016-06-10,427
2016-06-11,434
2016-06-12,444
2016-06-13,455
2016-06-14,472
2016-06-15,476
2016-06-16,483
2016-06-17,481
2016-06-18,484
2016-06-19,507
2016-06-20,524
2016-06-21,519
2016-06-22,499
2016-06-23,476
2016-06-24,455
2016-06-25,454
2016-06-26,467
2016-06-27,453
2016-06-28,452
2016-06-29,438
2016-06-30,420
2016-07-01,399
2016-07-02,382
2016-07-03,376
2016-07-04,364
2016-07-05,348
2016-07-06,334
2016-07-07,316
2016-07-08,297
2016-07-09,283
2016-07-10,268
2016-07-11,253
2016-07-12,243
2016-07-13,246
2016-07-14,269
2016-07-15,308
2016-07-16,327
2016-07-17,335
2016-07-18,327
2016-07-19,309
2016-07-20,289
2016-07-21,272
2016-07-22,275
2016-07-23,273
2016-07-24,279
2016-07-25,265
2016-07-26,253
2016-07-27,247
2016-07-28,253
2016-07-29,255
2016-07-30,243
2016-07-31,229
2016-08-01,217
2016-08-02,214
2016-08-03,220
2016-08-04,217
2016-08-05,214
2016-08-06,226
2016-08-07,247
2016-08-08,269
2016-08-09,260
2016-08-10,241
2016-08-11,229
2016-08-12,225
2016-08-13,222
2016-08-14,214
2016-08-15,206
2016-08-16,198
2016-08-17,189
2016-08-18,184
2016-08-19,182
2016-08-20,187
2016-08-21,192
2016-08-22,192
2016-08-23,181
2016-08-24,178
2016-08-25,174
2016-08-26,166
2016-08-27,164
2016-08-28,161
2016-08-29,154
2016-08-30,151
2016-08-31,148
2016-09-01,142
2016-09-02,141
2016-09-03,141
2016-09-04,137
2016-09-05,134
2016-09-06,132
2016-09-07,142
2016-09-08,166
2016-09-09,166
2016-09-10,161
2016-09-11,156
2016-09-12,149
2016-09-13,146
2016-09-14,142
2016-09-15,134
2016-09-16,130
2016-09-17,127
2016-09-18,128
2016-09-19,148
2016-09-20,148
2016-09-21,142
2016-09-22,132
2016-09-23,127
2016-09-24,121
2016-09-25,116
2016-09-26,111
2016-09-27,107
2016-09-28,109
2016-09-29,110
2016-09-30,103
2016-10-01,100
2016-10-02,100
2016-10-03,98
2016-10-04,96
2016-10-05,92
2016-10-06,86
2016-10-07,84
2016-10-08,80
2016-10-09,81
2016-10-10,77
2016-10-11,77
2016-10-12,72
2016-10-13,67
2016-10-14,68
2016-10-15,66
2016-10-16,68
2016-10-17,66
2016-10-18,66
2016-10-19,67
2016-10-20,77
2016-10-21,95
2016-10-22,106
2016-10-23,98
2016-10-24,84
2016-10-25,95
2016-10-26,105
2016-10-27,116
2016-10-28,127
2016-10-29,134
2016-10-30,121
2016-10-31,111
2016-11-01,108
2016-11-02,99
2016-11-03,96
2016-11-04,91
2016-11-05,90
2016-11-06,97
2016-11-07,101
2016-11-08,116
2016-11-09,127
2016-11-10,128
2016-11-11,139
2016-11-12,171
2016-11-13,219
2016-11-14,217
2016-11-15,184
2016-11-16,168
2016-11-17,168
2016-11-18,173
2016-11-19,182
2016-11-20,194
2016-11-21,219
2016-11-22,226
2016-11-23,209
2016-11-24,192
2016-11-25,176
2016-11-26,168
2016-11-27,158
2016-11-28,149
2016-11-29,137
2016-11-30,127
2016-12-01,118
2016-12-02,116
2016-12-03,111
2016-12-04,109
2016-12-05,103
2016-12-06,101
2016-12-07,101
2016-12-08,99
2016-12-09,96
2016-12-10,88
2016-12-11,86
2016-12-12,85
2016-12-13,81
2016-12-14,80
2016-12-15,81
2016-12-16,80
2016-12-17,77
2016-12-18,76
2016-12-19,74
2016-12-20,69
2016-12-21,68
2016-12-22,72
2016-12-23,72
2016-12-24,70
2016-12-25,67
2016-12-26,67
2016-12-27,66
2016-12-28,63
2016-12-29,65
2016-12-30,63
2016-12-31,59
2017-01-01,57
2017-01-02,55
2017-01-03,56
2017-01-04,56
2017-01-05,59
2017-01-06,61
2017-01-07,54
2017-01-08,51
2017-01-09,46
2017-01-10,51
2017-01-11,53
2017-01-12,57
2017-01-13,66
2017-01-14,84
2017-01-15,92
2017-01-16,91
2017-01-17,85
2017-01-18,71
2017-01-19,65
2017-01-20,61
2017-01-21,61
2017-01-22,56
2017-01-23,54
2017-01-24,53
2017-01-25,49
2017-01-26,53
2017-01-27,55
2017-01-28,59
2017-01-29,54
2017-01-30,52
2017-01-31,53
2017-02-01,61
2017-02-02,96
2017-02-03,205
2017-02-04,214
2017-02-05,190
2017-02-06,186
2017-02-07,182
2017-02-08,182
2017-02-09,178
2017-02-10,164
2017-02-11,151
2017-02-12,141
2017-02-13,132
2017-02-14,120
2017-02-15,114
2017-02-16,112
2017-02-17,109
2017-02-18,108
2017-02-19,111
2017-02-20,121
2017-02-21,123
2017-02-22,123
2017-02-23,146
2017-02-24,174
2017-02-25,182
2017-02-26,173
2017-02-27,169
2017-02-28,154
2017-03-01,158
2017-03-02,178
2017-03-03,216
2017-03-04,253
2017-03-05,253
2017-03-06,238
2017-03-07,228
2017-03-08,231
2017-03-09,262
2017-03-10,292
2017-03-11,355
2017-03-12,383
2017-03-13,360
2017-03-14,314
2017-03-15,282
2017-03-16,260
2017-03-17,238
2017-03-18,223
2017-03-19,228
2017-03-20,235
2017-03-21,253
2017-03-22,257
2017-03-23,247
2017-03-24,238
2017-03-25,228
2017-03-26,217
2017-03-27,208
2017-03-28,197
2017-03-29,192
2017-03-30,184
2017-03-31,176
2017-04-01,169
2017-04-02,166
2017-04-03,159
